EducationLevel,Location,Method,Program,Term,URL,University
Master's degree,"		Cheltenham, England
", On campus,Leisure and Tourism (Research),4 years,https://www.educations.com/study-abroad/university-of-gloucestershire/leisure-and-tourism-research-939452,University of Gloucestershire
Master's degree,"		Cheltenham, England
", On campus,Leisure and Tourism (Research),2 years,https://www.educations.com/study-abroad/university-of-gloucestershire/leisure-and-tourism-research-939534,University of Gloucestershire
Doctorate / PhD,"		London, England
", Online / Distance,Planning Studies and Tourism and Hospitality and Events (Research),6 years,https://www.educations.com/study-abroad/london-south-bank-university/planning-studies-and-tourism-and-hospitality-and-events-research-908016,London South Bank University
Doctorate / PhD,"		London, England
", On campus,Planning Studies and Tourism and Hospitality and Events (Research),48 months,https://www.educations.com/study-abroad/london-south-bank-university/planning-studies-and-tourism-and-hospitality-and-events-research-907829,London South Bank University
Doctorate / PhD,"		London, England
", On campus,Planning Studies and Tourism and Hospitality and Events (Research),5 years,https://www.educations.com/study-abroad/london-south-bank-university/planning-studies-and-tourism-and-hospitality-and-events-research-907830,London South Bank University
Bachelor's degree,"		Chichester, England
", On campus,Tourism Management and International English Studies,3 years,https://www.educations.com/study-abroad/university-of-chichester/tourism-management-and-international-english-studies-929110,University of Chichester
Bachelor's degree,"		Chichester, England
", On campus,Tourism Management with International English Studies,3 years,https://www.educations.com/study-abroad/university-of-chichester/tourism-management-with-international-english-studies-929111,University of Chichester
Bachelor's degree,"		Northampton, England
", On campus,International Tourism Management (top-up),1 year,https://www.educations.com/study-abroad/university-of-northampton/international-tourism-management-top-up-945583,University of Northampton
Bachelor's degree,"		London, England
", On campus,Travel and Tourism,3 years,https://www.educations.com/study-abroad/gsm-london/travel-and-tourism-906499,GSM London
Master's degree,"		Lincoln, England
", On campus,Tourism and Marketing (Taught),2 years,https://www.educations.com/study-abroad/university-of-lincoln/tourism-and-marketing-taught-947831,University of Lincoln
Master's degree,Multiple (3)," On campus, Blended learning, Online / Distance",Master of Science in International Hospitality Business,1.5 years,https://www.educations.com/study-abroad/glion-institute-of-higher-education/master-of-science-in-international-hospitality-business-1556307,Glion Institute of Higher Education
Diploma / certificate,"		Birmingham, England
", On campus,International Foundation Diploma,1 year,https://www.educations.com/study-abroad/university-college-birmingham/international-foundation-diploma-1488364,University College Birmingham
Bachelor's degree,"		Derby, England
", On campus,BA (Hons) Event Management,3 years,https://www.educations.com/study-abroad/university-of-derby/ba-hons-event-management-1355975,University of Derby
Bachelor's degree,"		Chester, England
", On campus,International Tourism Management and Business Management,3 years,https://www.educations.com/study-abroad/university-of-chester/international-tourism-management-and-business-management-934066,University of Chester
Bachelor's degree,"		Chester, England
", On campus,International Tourism Management and Business Management,4 years,https://www.educations.com/study-abroad/university-of-chester/international-tourism-management-and-business-management-934065,University of Chester
Bachelor's degree,"		London, England
", On campus,BA (Hons) International Tourism Management (Top-Up),2 years,https://www.educations.com/study-abroad/the-london-college/ba-hons-international-tourism-management-top-up-918186,The London College
Bachelor's degree,"		London, England
", On campus,BA (Hons) International Tourism Management (Top-Up),1 year,https://www.educations.com/study-abroad/the-london-college/ba-hons-international-tourism-management-top-up-918187,The London College
Bachelor's degree,"		York, England
", On campus,Tourism Management and Marketing (With Placement),4 years,https://www.educations.com/study-abroad/york-st-john-university/tourism-management-and-marketing-with-placement-960393,York St John University
Bachelor's degree,"		York, England
", On campus,Tourism Management and Spanish (With Placement),4 years,https://www.educations.com/study-abroad/york-st-john-university/tourism-management-and-spanish-with-placement-960546,York St John University
Bachelor's degree,"		London, England
", On campus,Event Management with Tourism with Placement,4 years,https://www.educations.com/study-abroad/university-of-west-london/event-management-with-tourism-with-placement-964748,University of West London
Bachelor's degree,"		York, England
", On campus,Tourism and Events Management with Foundation Year,4 years,https://www.educations.com/study-abroad/york-st-john-university/tourism-and-events-management-with-foundation-year-960399,York St John University
Foundation / Pathway program,"		Leeds, England
", On campus,Tourism and Aviation,2 years,https://www.educations.com/study-abroad/leeds-city-college/tourism-and-aviation-899435,Leeds City College
Bachelor's degree,"		Brighton, England
", On campus,International Tourism Management,4 years,https://www.educations.com/study-abroad/university-of-brighton/international-tourism-management-927633,University of Brighton
Bachelor's degree,"		Brighton, England
", On campus,International Tourism Management,3 years,https://www.educations.com/study-abroad/university-of-brighton/international-tourism-management-927634,University of Brighton
Doctorate / PhD,"		Oxford, England
", On campus,"Hospitality, Leisure and Tourism Management (Research)",36 months,https://www.educations.com/study-abroad/oxford-brookes-university/hospitality-leisure-and-tourism-management-research-911193,Oxford Brookes University
Doctorate / PhD,"		Oxford, England
", On campus,"Hospitality, Leisure and Tourism Management (Research)",6 years,https://www.educations.com/study-abroad/oxford-brookes-university/hospitality-leisure-and-tourism-management-research-911192,Oxford Brookes University
Master's degree,"		Oxford, England
", On campus,"Hospitality, Leisure and Tourism Management (Research)",2 years,https://www.educations.com/study-abroad/oxford-brookes-university/hospitality-leisure-and-tourism-management-research-911191,Oxford Brookes University
Bachelor's degree,"		Chichester, England
", On campus,Event and Hospitality Management,3 years,https://www.educations.com/study-abroad/university-of-chichester/event-and-hospitality-management-929136,University of Chichester
Bachelor's degree,"		Chichester, England
", On campus,Event and Hospitality Management,4 years,https://www.educations.com/study-abroad/university-of-chichester/event-and-hospitality-management-929135,University of Chichester
Diploma / certificate,"		London, England
", On campus,Hospitality Management,1 year,https://www.educations.com/study-abroad/kingston-college/hospitality-management-901510,Kingston College
Bachelor's degree,"		Northampton, England
", On campus,International Tourism Management/Business Entrepreneurship,3 years,https://www.educations.com/study-abroad/university-of-northampton/international-tourism-management-business-entrepreneurship-945561,University of Northampton
Bachelor's degree,"		London, England
", On campus,Hospitality Management,3 years,https://www.educations.com/study-abroad/university-of-west-london/hospitality-management-964519,University of West London
Diploma / certificate,"		Barnsley, England
", On campus,Hospitality Management,2 years,https://www.educations.com/study-abroad/university-campus-barnsley/hospitality-management-919092,University Campus Barnsley
Diploma / certificate,"		London, England
", On campus,Hospitality Management,2 years,https://www.educations.com/study-abroad/ealing-hammersmith-and-west-london-college/hospitality-management-901055,"Ealing, Hammersmith and West London College"
Bachelor's degree,"		Chester, England
", On campus,Hospitality Management,3 years,https://www.educations.com/study-abroad/university-of-chester/hospitality-management-934062,University of Chester
Bachelor's degree,"		Bedford, England
", On campus,International Tourism with Events Management,3 years,https://www.educations.com/study-abroad/university-of-bedfordshire/international-tourism-with-events-management-926001,University of Bedfordshire
Bachelor's degree,"		Sheffield, England
", On campus,International Tourism Management with French,4 years,https://www.educations.com/study-abroad/sheffield-hallam-university/international-tourism-management-with-french-919799,Sheffield Hallam University
Bachelor's degree,"		Sheffield, England
", On campus,International Tourism Management with German,4 years,https://www.educations.com/study-abroad/sheffield-hallam-university/international-tourism-management-with-german-919800,Sheffield Hallam University
Bachelor's degree,"		Birmingham, England
", On campus,Events Management (with placement) BA (Hons) / FdA,4 years,https://www.educations.com/study-abroad/university-college-birmingham/events-management-with-placement-ba-hons-fda-924447,University College Birmingham
Bachelor's degree,"		Derby, England
", On campus,"BSc (Hons) Sound, Light & Live Event Technology with Foundation Year",4 years,https://www.educations.com/study-abroad/university-of-derby/bsc-hons-sound-light-live-event-technology-with-foundation-year-1356081,University of Derby
Bachelor's degree,"		Derby, England
", On campus,"BSc (Hons) Sound, Light and Live Event Technology",3 years,https://www.educations.com/study-abroad/university-of-derby/bsc-hons-sound-light-and-live-event-technology-1356083,University of Derby
Summer / Short course,"		Cornwall, England
", Online / Distance,A Greener Festival Assessor Training,2 weeks,https://www.educations.com/study-abroad/falmouth-university/a-greener-festival-assessor-training-1582065,Falmouth University
Master's degree,"		Leicester, England
", On campus,Cultural Events Management MSc,12 months,https://www.educations.com/study-abroad/de-montfort-university/cultural-events-management-msc-893692,De Montfort University
Bachelor's degree,"		Birmingham, England
", On campus,Culinary Arts Management BA (Hons) / FdA,4 years,https://www.educations.com/study-abroad/university-college-birmingham/culinary-arts-management-ba-hons-fda-924430,University College Birmingham
Master's degree,"		London, England
"," On campus, Blended learning, Online / Distance","Master of Science in Real Estate, Finance and Hotel Development",1.5 years,https://www.educations.com/study-abroad/glion-institute-of-higher-education/master-of-science-in-real-estate-finance-and-hotel-development-1556309,Glion Institute of Higher Education
Bachelor's degree,"		York, England
", On campus,International Hospitality Management,3 years,https://www.educations.com/study-abroad/york-st-john-university/international-hospitality-management-960407,York St John University
Bachelor's degree,"		Northampton, England
", On campus,International Tourism Management/Health Studies,3 years,https://www.educations.com/study-abroad/university-of-northampton/international-tourism-management-health-studies-945569,University of Northampton
Bachelor's degree,"		London, England
", On campus,Hospitality Management with Placement,4 years,https://www.educations.com/study-abroad/university-of-west-london/hospitality-management-with-placement-964536,University of West London
Foundation / Pathway program,"		Middlesbrough, England
", On campus,Hospitality Management,2 years,https://www.educations.com/study-abroad/middlesbrough-college/hospitality-management-908263,Middlesbrough College
Foundation / Pathway program,"		London, England
", On campus,Hospitality Management,2 years,https://www.educations.com/study-abroad/westminster-kingsway-college/hospitality-management-963225,Westminster Kingsway College
Bachelor's degree,"		Bedford, England
", On campus,Hospitality and Tourism Management,3 years,https://www.educations.com/study-abroad/university-of-bedfordshire/hospitality-and-tourism-management-925989,University of Bedfordshire
Bachelor's degree,"		Plymouth, England
", On campus,Tourism and Hospitality Management,3 years,https://www.educations.com/study-abroad/university-of-plymouth/tourism-and-hospitality-management-951417,University of Plymouth
Bachelor's degree,"		Plymouth, England
", On campus,Tourism and Hospitality Management,4 years,https://www.educations.com/study-abroad/university-of-plymouth/tourism-and-hospitality-management-951418,University of Plymouth
Foundation / Pathway program,"		Liverpool, England
", On campus,"Tourism, Leisure and Hospitality",2 years,https://www.educations.com/study-abroad/city-of-liverpool-college/tourism-leisure-and-hospitality-894778,City of Liverpool College
Bachelor's degree,"		Bedford, England
", On campus,International Tourism with Hospitality Management,3 years,https://www.educations.com/study-abroad/university-of-bedfordshire/international-tourism-with-hospitality-management-925995,University of Bedfordshire
Bachelor's degree,"		Dorset, England
", On campus,International Tourism and Hospitality Management,4 years,https://www.educations.com/study-abroad/bournemouth-university/international-tourism-and-hospitality-management-897244,Bournemouth University
Bachelor's degree,"		Plymouth, England
", On campus,Hospitality Management,4 years,https://www.educations.com/study-abroad/university-of-plymouth/hospitality-management-951426,University of Plymouth
Bachelor's degree,"		Plymouth, England
", On campus,Hospitality Management,3 years,https://www.educations.com/study-abroad/university-of-plymouth/hospitality-management-951427,University of Plymouth
Bachelor's degree,"		London, England
", On campus,Hospitality Management (Extended),4 years,https://www.educations.com/study-abroad/university-of-greenwich/hospitality-management-extended-939867,University of Greenwich
Bachelor's degree,"		London, England
", On campus,Hospitality Management (Extended),5 years,https://www.educations.com/study-abroad/university-of-greenwich/hospitality-management-extended-939874,University of Greenwich
Bachelor's degree,"		Blackburn, England
", On campus,Hospitality Management (Top-Up),1 year,https://www.educations.com/study-abroad/blackburn-college/hospitality-management-top-up-894866,Blackburn College
Bachelor's degree,"		High Wycombe, England
", On campus,Events Festivals and Venue Management with Foundation Year,4 years,https://www.educations.com/study-abroad/buckinghamshire-new-university/events-festivals-and-venue-management-with-foundation-year-1009007,Buckinghamshire New University
Bachelor's degree,"		High Wycombe, England
", On campus,Events Festivals and Venue Management,3 years,https://www.educations.com/study-abroad/buckinghamshire-new-university/events-festivals-and-venue-management-1406167,Buckinghamshire New University
Bachelor's degree,"		London, England
", On campus,Events Management (Including Foundation Year) BA (Hons) (Full-time),4 years,https://www.educations.com/study-abroad/london-metropolitan-university/events-management-including-foundation-year-ba-hons-full-time-1396019,London Metropolitan University
Foundation / Pathway program,"		Paignton, England
", On campus,"Tourism, Hospitality and Events Management",2 years,https://www.educations.com/study-abroad/south-devon-college/tourism-hospitality-and-events-management-921329,South Devon College
Bachelor's degree,"		London, England
", On campus,International Hospitality and Tourism Management Top Up,1 year,https://www.educations.com/study-abroad/middlesex-university/international-hospitality-and-tourism-management-top-up-909186,Middlesex University London
Bachelor's degree,"		Hatfield, England
", On campus,Tourism Management,4 years,https://www.educations.com/study-abroad/university-of-hertfordshire/tourism-management-940522,University of Hertfordshire
Bachelor's degree,"		Dorset, England
", On campus,International Hospitality and Tourism Management (Top-up),1 year,https://www.educations.com/study-abroad/bournemouth-university/international-hospitality-and-tourism-management-top-up-897242,Bournemouth University
Bachelor's degree,"		York, England
", On campus,International Tourism and Hospitality Management (with Foundation Year),4 years,https://www.educations.com/study-abroad/york-st-john-university/international-tourism-and-hospitality-management-with-foundation-year-960403,York St John University
Bachelor's degree,"		Sheffield, England
", On campus,International Tourism and Hospitality Business Management (top up),1 year,https://www.educations.com/study-abroad/sheffield-hallam-university/international-tourism-and-hospitality-business-management-top-up-919793,Sheffield Hallam University
Bachelor's degree,"		London, England
", On campus,Tourism Management,3 years,https://www.educations.com/study-abroad/university-of-greenwich/tourism-management-939850,University of Greenwich
Bachelor's degree,"		London, England
", On campus,Tourism Management,4 years,https://www.educations.com/study-abroad/university-of-greenwich/tourism-management-939851,University of Greenwich
Foundation / Pathway program,"		Grimsby, England
", On campus,Tourism Management,2 years,https://www.educations.com/study-abroad/university-centre-grimsby/tourism-management-919201,University Centre Grimsby
Bachelor's degree,"		Preston, England
", On campus,International Tourism Management,4 years,https://www.educations.com/study-abroad/university-of-central-lancashire/international-tourism-management-929530,University of Central Lancashire
Bachelor's degree,"		Preston, England
", On campus,International Tourism Management,3 years,https://www.educations.com/study-abroad/university-of-central-lancashire/international-tourism-management-929531,University of Central Lancashire
Bachelor's degree,"		Chichester, England
", On campus,Tourism Management,3 years,https://www.educations.com/study-abroad/university-of-chichester/tourism-management-929053,University of Chichester
Bachelor's degree,"		Chichester, England
", On campus,Tourism Management,4 years,https://www.educations.com/study-abroad/university-of-chichester/tourism-management-929054,University of Chichester
Bachelor's degree,"		Hatfield, England
", On campus,Event Management/Tourism,4 years,https://www.educations.com/study-abroad/university-of-hertfordshire/event-management-tourism-941085,University of Hertfordshire
Bachelor's degree,"		Canterbury, England
", On campus,Hospitality Management,3 years,https://www.educations.com/study-abroad/canterbury-christ-church-university/hospitality-management-896583,Canterbury Christ Church University
Bachelor's degree,"		Hatfield, England
", On campus,"International Tourism Management with European Language (French, German, Spanish)",4 years,https://www.educations.com/study-abroad/university-of-hertfordshire/international-tourism-management-with-european-language-french-german-spanish-940518,University of Hertfordshire
Foundation / Pathway program,"		Manchester, England
", On campus,Travel and Tourism Management,2 years,https://www.educations.com/study-abroad/ucen-manchester-the-manchester-college/travel-and-tourism-management-924350,UCEN Manchester (The Manchester College)
Master's degree,"		Northampton, England
", On campus,International Tourism Development (Taught),1 year,https://www.educations.com/study-abroad/university-of-northampton/international-tourism-development-taught-945588,University of Northampton
Master's degree,"		Northampton, England
", On campus,International Tourism Development (Taught),2 years,https://www.educations.com/study-abroad/university-of-northampton/international-tourism-development-taught-945589,University of Northampton
Bachelor's degree,"		Preston, England
", On campus,International Tourism Management (Foundation Entry),5 years,https://www.educations.com/study-abroad/university-of-central-lancashire/international-tourism-management-foundation-entry-929532,University of Central Lancashire
Bachelor's degree,"		Preston, England
", On campus,International Tourism Management (Foundation Entry),4 years,https://www.educations.com/study-abroad/university-of-central-lancashire/international-tourism-management-foundation-entry-929534,University of Central Lancashire
Diploma / certificate,"		Wakefield, England
", On campus,Travel and Tourism Management HND,2 years,https://www.educations.com/study-abroad/wakefield-college/travel-and-tourism-management-hnd-964284,Wakefield College
Bachelor's degree,"		London, England
", On campus,Travel and Tourism Management with Placement,4 years,https://www.educations.com/study-abroad/university-of-west-london/travel-and-tourism-management-with-placement-964522,University of West London
Master's degree,"		London, England
", On campus,International Tourism Management (Taught),2 years,https://www.educations.com/study-abroad/middlesex-university/international-tourism-management-taught-909179,Middlesex University London
Master's degree,"		London, England
", On campus,International Tourism Management (Taught),1 year,https://www.educations.com/study-abroad/middlesex-university/international-tourism-management-taught-909180,Middlesex University London
Diploma / certificate,"		London, England
", On campus,International Travel and Tourism Management,1 year,https://www.educations.com/study-abroad/kingston-college/international-travel-and-tourism-management-901538,Kingston College
Master's degree,"		Oxford, England
", On campus,International Tourism Management (Taught),2 years,https://www.educations.com/study-abroad/oxford-brookes-university/international-tourism-management-taught-911198,Oxford Brookes University
Master's degree,"		Oxford, England
", On campus,International Tourism Management (Taught),1 year,https://www.educations.com/study-abroad/oxford-brookes-university/international-tourism-management-taught-911176,Oxford Brookes University
Master's degree,"		Oxford, England
", On campus,International Tourism Management (Taught),2 years,https://www.educations.com/study-abroad/oxford-brookes-university/international-tourism-management-taught-911175,Oxford Brookes University
Foundation / Pathway program,"		London, England
", On campus,Travel and Tourism Management with Placement,3 years,https://www.educations.com/study-abroad/university-of-west-london/travel-and-tourism-management-with-placement-964523,University of West London
Graduate diploma / certificate,"		Leeds, England
", Online / Distance,Responsible Tourism Management (Taught),90 weeks,https://www.educations.com/study-abroad/leeds-beckett-university/responsible-tourism-management-taught-907461,Leeds Beckett University
Master's degree,"		Dorset, England
", On campus,Tourism Management (Taught),1 year,https://www.educations.com/study-abroad/bournemouth-university/tourism-management-taught-897276,Bournemouth University
Master's degree,"		London, England
", On campus,Luxury Hospitality Management (Taught),2 years,https://www.educations.com/study-abroad/university-of-west-london/luxury-hospitality-management-taught-964528,University of West London
Master's degree,"		London, England
", On campus,Luxury Hospitality Management (Taught),17 months,https://www.educations.com/study-abroad/university-of-west-london/luxury-hospitality-management-taught-964529,University of West London
Bachelor's degree,"		Hatfield, England
", On campus,"International Tourism Management with Eastern Language (Japanese, Mandarin)",4 years,https://www.educations.com/study-abroad/university-of-hertfordshire/international-tourism-management-with-eastern-language-japanese-mandarin-940516,University of Hertfordshire
Diploma / certificate,"		Chichester, England
", On campus,Travel and Tourism Management,2 years,https://www.educations.com/study-abroad/chichester-college/travel-and-tourism-management-891162,Chichester College
Bachelor's degree,"		London, England
", On campus,Travel and Tourism Management with Foundation Year,4 years,https://www.educations.com/study-abroad/university-of-west-london/travel-and-tourism-management-with-foundation-year-964524,University of West London
Foundation / Pathway program,"		Leicester, England
", On campus,Tourism and Events Management,2 years,https://www.educations.com/study-abroad/leicester-college/tourism-and-events-management-904976,Leicester College
Bachelor's degree,"		York, England
", On campus,Tourism and Events Management (with Placement),4 years,https://www.educations.com/study-abroad/york-st-john-university/tourism-and-events-management-with-placement-960400,York St John University
Bachelor's degree,"		London, England
", On campus,Travel and Tourism (with Foundation Year),4 years,https://www.educations.com/study-abroad/gsm-london/travel-and-tourism-with-foundation-year-906503,GSM London
Bachelor's degree,"		Brighton, England
", On campus,International Tourism Management (Top-Up),1 year,https://www.educations.com/study-abroad/university-of-brighton/international-tourism-management-top-up-927635,University of Brighton
Master's degree,"		Oxford, England
", On campus,International Hotel and Tourism Management (Taught),2 years,https://www.educations.com/study-abroad/oxford-brookes-university/international-hotel-and-tourism-management-taught-911597,Oxford Brookes University
Master's degree,"		Oxford, England
", On campus,International Hotel and Tourism Management (Taught),1 year,https://www.educations.com/study-abroad/oxford-brookes-university/international-hotel-and-tourism-management-taught-911599,Oxford Brookes University
Bachelor's degree,"		Huddersfield, England
", On campus,Hospitality Business Management with a Modern Language,4 years,https://www.educations.com/study-abroad/university-of-huddersfield/hospitality-business-management-with-a-modern-language-941287,University of Huddersfield
Bachelor's degree,"		Sheffield, England
", On campus,International Hospitality Business Management with Conference and Events (top up),1 year,https://www.educations.com/study-abroad/sheffield-hallam-university/international-hospitality-business-management-with-conference-and-events-top-up-919804,Sheffield Hallam University
Master's degree,"		Lincoln, England
", On campus,Tourism and Marketing (Taught),1 year,https://www.educations.com/study-abroad/university-of-lincoln/tourism-and-marketing-taught-947832,University of Lincoln
Bachelor's degree,"		Lincoln, England
", On campus,International Tourism Management,4 years,https://www.educations.com/study-abroad/university-of-lincoln/international-tourism-management-947834,University of Lincoln
Bachelor's degree,"		London, England
", On campus,Event Management with Hospitality with Foundation Year,4 years,https://www.educations.com/study-abroad/university-of-west-london/event-management-with-hospitality-with-foundation-year-964757,University of West London
Foundation / Pathway program,"		Newcastle upon Tyne, England
", On campus,Culinary Arts,2 years,https://www.educations.com/study-abroad/newcastle-college/culinary-arts-912699,Newcastle College
Bachelor's degree,"		Cornwall, England
", On campus,Sustainable Festival Management BA (Hons),2 years,https://www.educations.com/study-abroad/falmouth-university/sustainable-festival-management-ba-hons-1412452,Falmouth University
Master's degree,"		Canterbury, England
", On campus,Tourism and Event Management (Taught),2 years,https://www.educations.com/study-abroad/canterbury-christ-church-university/tourism-and-event-management-taught-896584,Canterbury Christ Church University
Master's degree,"		Canterbury, England
", On campus,Tourism and Event Management (Taught),1 year,https://www.educations.com/study-abroad/canterbury-christ-church-university/tourism-and-event-management-taught-896585,Canterbury Christ Church University
Diploma / certificate,"		London, England
", On campus,HND Hospitality Management,2 years,https://www.educations.com/study-abroad/the-london-college/hnd-hospitality-management-918185,The London College
Bachelor's degree,"		Cheltenham, England
", On campus,"Hotel, Resort and Tourism Management",4 years,https://www.educations.com/study-abroad/university-of-gloucestershire/hotel-resort-and-tourism-management-939623,University of Gloucestershire
Diploma / certificate,"		Wakefield, England
", On campus,HNC Diploma in Hospitality Management,2 years,https://www.educations.com/study-abroad/wakefield-college/hnc-diploma-in-hospitality-management-964281,Wakefield College
Bachelor's degree,"		Dorset, England
", On campus,International Hospitality Management,4 years,https://www.educations.com/study-abroad/bournemouth-university/international-hospitality-management-897243,Bournemouth University
Bachelor's degree,"		Liverpool, England
", On campus,International Tourism Management with Foundation Year - Subject to Validation,5 years,https://www.educations.com/study-abroad/liverpool-john-moores-university/international-tourism-management-with-foundation-year-subject-to-validation-904545,Liverpool John Moores University
Bachelor's degree,"		Liverpool, England
", On campus,International Tourism Management with Foundation Year - Subject to Validation,4 years,https://www.educations.com/study-abroad/liverpool-john-moores-university/international-tourism-management-with-foundation-year-subject-to-validation-904546,Liverpool John Moores University
Bachelor's degree,"		Chester, England
", On campus,International Tourism Management with a Language - French or Spanish,4 years,https://www.educations.com/study-abroad/university-of-chester/international-tourism-management-with-a-language-french-or-spanish-934312,University of Chester
Bachelor's degree,"		Sheffield, England
", On campus,International Events Management with Tourism,3 years,https://www.educations.com/study-abroad/sheffield-hallam-university/international-events-management-with-tourism-920161,Sheffield Hallam University
Bachelor's degree,"		Bradford, England
", On campus,Hospitality and Travel Management (Top Up),1 year,https://www.educations.com/study-abroad/bradford-college/hospitality-and-travel-management-top-up-893817,Bradford College
Master's degree,"		London, England
", On campus,International Tourism and Aviation Management (with internship) (Taught),18 months,https://www.educations.com/study-abroad/university-of-west-london/international-tourism-and-aviation-management-with-internship-taught-964533,University of West London
Foundation / Pathway program,"		Bradford, England
", On campus,Hospitality and Travel Management,2 years,https://www.educations.com/study-abroad/bradford-college/hospitality-and-travel-management-893835,Bradford College
Bachelor's degree,"		York, England
", On campus,Tourism Management & Marketing (Top-Up),1 year,https://www.educations.com/study-abroad/york-st-john-university/tourism-management-marketing-top-up-960397,York St John University
Bachelor's degree,"		Leeds, England
", On campus,International Tourism and Aviation Management (Top-Up),1 year,https://www.educations.com/study-abroad/leeds-city-college/international-tourism-and-aviation-management-top-up-899451,Leeds City College
Bachelor's degree,"		London, England
", On campus,Event Management with Tourism with Foundation Year,4 years,https://www.educations.com/study-abroad/university-of-west-london/event-management-with-tourism-with-foundation-year-964750,University of West London
Master's degree,"		Oxford, England
", On campus,"Hospitality, Leisure and Tourism Management (Research)",48 months,https://www.educations.com/study-abroad/oxford-brookes-university/hospitality-leisure-and-tourism-management-research-911190,Oxford Brookes University
Foundation / Pathway program,"		London, England
", On campus,Event Management with Tourism,2 years,https://www.educations.com/study-abroad/university-of-west-london/event-management-with-tourism-964752,University of West London
Bachelor's degree,"		Bedford, England
", On campus,Hospitality and Tourism Management with Foundation Year,4 years,https://www.educations.com/study-abroad/university-of-bedfordshire/hospitality-and-tourism-management-with-foundation-year-925990,University of Bedfordshire
Bachelor's degree,"		York, England
", On campus,Tourism Management,3 years,https://www.educations.com/study-abroad/york-st-john-university/tourism-management-960398,York St John University
Bachelor's degree,"		Leeds, England
", On campus,International Tourism Management,3 years,https://www.educations.com/study-abroad/leeds-beckett-university/international-tourism-management-907303,Leeds Beckett University
Diploma / certificate,"		London, England
", Online / Distance,Level 5 Diploma in Management for Travel and Tourism (60 Credits),9 months,https://www.educations.com/study-abroad/london-school-of-international-business/level-5-diploma-in-management-for-travel-and-tourism-60-credits-619601,London School of International Business
Doctorate / PhD,"		London, England
", On campus,Tourism by Published Work (Research),48 months,https://www.educations.com/study-abroad/university-of-westminster/tourism-by-published-work-research-961069,University of Westminster
Bachelor's degree,"		Northampton, England
", On campus,International Tourism Management/Education Studies,3 years,https://www.educations.com/study-abroad/university-of-northampton/international-tourism-management-education-studies-945573,University of Northampton
Foundation / Pathway program,"		Loughborough, England
", On campus,Hospitality Management,2 years,https://www.educations.com/study-abroad/loughborough-college/hospitality-management-905582,Loughborough College
Bachelor's degree,"		Northampton, England
", On campus,International Tourism Management/Events Management,3 years,https://www.educations.com/study-abroad/university-of-northampton/international-tourism-management-events-management-945567,University of Northampton
Bachelor's degree,"		Northampton, England
", On campus,International Tourism Management/Human Geography,3 years,https://www.educations.com/study-abroad/university-of-northampton/international-tourism-management-human-geography-945571,University of Northampton
Foundation / Pathway program,"		London, England
", On campus,Hospitality Management,2 years,https://www.educations.com/study-abroad/university-of-west-london/hospitality-management-964517,University of West London
Bachelor's degree,"		London, England
", On campus,International Tourism Management (Spanish) with Foundation Year,5 years,https://www.educations.com/study-abroad/middlesex-university/international-tourism-management-spanish-with-foundation-year-909181,Middlesex University London
Diploma / certificate,"		Manchester, England
", On campus,Hospitality Management,1 year,https://www.educations.com/study-abroad/ucen-manchester-the-manchester-college/hospitality-management-924349,UCEN Manchester (The Manchester College)
Diploma / certificate,"		Sunderland, England
", On campus,Hospitality Management,2 years,https://www.educations.com/study-abroad/sunderland-college/hospitality-management-917261,Sunderland College
Bachelor's degree,"		Sheffield, England
", On campus,International Tourism Management with Spanish,4 years,https://www.educations.com/study-abroad/sheffield-hallam-university/international-tourism-management-with-spanish-919801,Sheffield Hallam University
Bachelor's degree,"		York, England
", On campus,Tourism Management (Top-Up),1 year,https://www.educations.com/study-abroad/york-st-john-university/tourism-management-top-up-960396,York St John University
Master's degree,"		Bedford, England
", On campus,International Tourism Planning and Management,1 year,https://www.educations.com/study-abroad/university-of-bedfordshire/international-tourism-planning-and-management-936046,University of Bedfordshire
Bachelor's degree,"		York, England
", On campus,Tourism Management and Marketing with Foundation Year,4 years,https://www.educations.com/study-abroad/york-st-john-university/tourism-management-and-marketing-with-foundation-year-960392,York St John University
Bachelor's degree,"		London, England
", On campus,Event Management with Tourism,3 years,https://www.educations.com/study-abroad/university-of-west-london/event-management-with-tourism-964751,University of West London
Summer / Short course,"		Cornwall, England
", Online / Distance,Attitude is Everything Disability Equality Training for Live Events,2 weeks,https://www.educations.com/study-abroad/falmouth-university/attitude-is-everything-disability-equality-training-for-live-events-1582068,Falmouth University
Bachelor's degree,"		Birmingham, England
", On campus,Professional Chef FdA,2 years,https://www.educations.com/study-abroad/university-college-birmingham/professional-chef-fda-924425,University College Birmingham
Master's degree,"		Birmingham, England
", On campus,Gastronomy and Food Sustainability MSc / PGDip,,https://www.educations.com/study-abroad/university-college-birmingham/gastronomy-and-food-sustainability-msc-pgdip-1513751,University College Birmingham
Foundation / Pathway program,"		London, England
", On campus,Hospitality Management,2 years,https://www.educations.com/study-abroad/westminster-kingsway-college/hospitality-management-963231,Westminster Kingsway College
Diploma / certificate,"		Essex, England
", On campus,HND Hospitality Management,2 years,https://www.educations.com/study-abroad/mont-rose-college-of-management-and-sciences/hnd-hospitality-management-908300,Mont Rose College of Management and Sciences
